Vendor Code,Company,County,Address,City,State,Zip
159004,LOGIXSERVICE INC,Outside of LA County,903 CALLE AMANECER STE 125,SAN CLEMENTE,California,92673
159004,LOGIXSERVICE INC,Outside of LA County,903 CALLE AMANACER STE 125,SAN CLEMENTE,California,92673
205655,"INNOVATIVE WORKPLACE SOLUTIONS, LLC",In LA County,8943 COLLETT AVE,NORTH HILLS,California,91343
118932,APPLIED ENGINEERING CONCEPTS,In LA County,894 N FAIR OAKS AVE,PASADENA,California,91103
46786,"PATTEN ENERGY ENTERPRISES, INC",In LA County,8939 S SEPULVEDA BLVD STE 514,LOS ANGELES,California,90045
177581,POLYCHROME CONSTRUCTION INC,In LA County,8908 BALBOA BLVD,NORTHRIDGE,California,91325
163451,CSDA DESIGN GROUP INC,In LA County,889 N DOUGLAS STREET,EL SEGUNDO,California,90245
163451,CSDA DESIGN GROUP INC,In LA County,889 N DOUGLAS ST,EL SEGUNDO,California,90245
111511,APSI CONSTRUCTION MANAGEMENT,Outside of LA County,8885 RESEARCH DR,IRVINE,California,92618
43302,VALLEY CONSTRUCTION SUPPLY INC,In LA County,888 E AVENUE L 4,LANCASTER,California,93535
194581,OCMI,Outside of LA County,8851 RESEARCH DR,IRVINE,California,92618
182836,"ADVANCED MICROSYSTEMS GROUP, INC.",In LA County,8816 S SEPULVEDA BLVD,LOS ANGELES,California,90045
190398,KEITH JACKSON ENTERPRISES INC,Outside of LA County,8780 19TH ST,RCH CUCAMONGA,California,91701
167823,"AIR BALANCE CO., INC.",In LA County,874 S VILLAGE OAKS DR,COVINA,California,91724
117868,MAURER MARINE INC.,Outside of LA County,873 W. 17TH ST.,COSTA MESA,California,92627
182164,PG CUTTING SERVICES,In LA County,8650 SOMERSET BLVD,PARAMOUNT,California,90723
182164,PG CUTTING SERVICES,In LA County,8650 SOMERSET BLVD,PARAMOUNT,California,90723
190811,BAYINFOTECH,In LA County,8605 SANTA MONICA BLVD,W HOLLYWOOD,California,90069
202781,"PHONES USA, INC.",In LA County,8592 VENICE BLVD,LOS ANGELES,California,90034
513782,DAVID RAYBOULD,In LA County,8552 AQUEDUCT AVE.,NORTH HILLS,California,91343
201043,THINKLOGIC INC,In LA County,855 N DOUGLAS ST,EL SEGUNDO,California,90245
194037,HORIZON DESIGN INTERNATIONAL LLC,In LA County,8549 WILSHIRE BLVD #1108,BEVERLY HILLS,California,90211
163141,BRILLIANT CORNERS,Outside of LA County,854 FOLSOM ST,SAN FRANCISCO,California,94107
171823,ARDO A VARDANYAN,In LA County,8532 VINE VALLEY DR,SUN VALLEY,California,91352
168704,ZSM CORP.,In LA County,8512 HELMAND DR,WINNETKA,California,91306
180362,"DURA BRANDS, INC.",In LA County,851 MERIDIAN ST,DUARTE,California,91010
164801,BBC ELECTRIC INC.,In LA County,850 W FOOTHILL BLVD STE 20,AZUSA,California,91702
127786,TELENET VOIP INC,In LA County,850 PARKVIEW DRIVE NORTH,EL SEGUNDO,California,90245
