,Vendor Code,Company,County,City,Zip,Vendor_Address,lat,lon
39,60044,MICHAEL E. POWERS & ASSOCIATES,In LA County,AZUSA,91702,"918  W FOOTHILL BLVD, AZUSA, CA, 91702",34.1334619,-117.9186885
40,203713,GEORGE RIZKALLA,In LA County,BEVERLY HILLS,90210,"9171  WILSHIRE BLVD , BEVERLY HILLS, CA, 90210",34.0672868,-118.392413
41,149653,TRAINING CONNECTION LLC,In LA County,LOS ANGELES,90017,"915  WILSHIRE BLVD , LOS ANGELES, CA, 90017",34.0510572,-118.2600174
42,177589,"WENMAR, INC.",In LA County,CHATSWORTH,91311,"9132  JORDAN AVE, CHATSWORTH, CA, 91311",34.2361181,-118.6038301
43,165560,LORENA O CARMACK,In LA County,DOWNEY,90240,"9130  EGLISE AVE, DOWNEY, CA, 90240",33.951181,-118.1041185
44,517390,SUPERIOR PROPERTY SERVICES INC,In LA County,PICO RIVERA,90660,"9129  PERKINS STREET, PICO RIVERA, CA, 90660",33.9721212,-118.1014656
45,186443,BE SOCIAL PRODUCTIONS,In LA County,BEVERLY HILLS,90212,"9100  WILSHIRE BLVD, BEVERLY HILLS, CA, 90212",34.066968,-118.389821
46,210380,PROLIFIC STYLES LLC,In LA County,LOS ANGELES,90045,"9100  S SEPULVEDA BLVD, LOS ANGELES, CA, 90045",33.9542725,-118.3957814
47,175228,"BUSINESS U, INC.",In LA County,LOS ANGELES,90024,"907  WESTWOOD BLVD, LOS ANGELES, CA, 90024",34.0635511,-118.445526
48,501216,"SPECIAL SERVICE FOR GROUPS, INC.",In LA County,LOS ANGELES,90021,"905  E. 8TH STREET, LOS ANGELES, CA, 90021",34.0312699,-118.2419335
49,501216,"SPECIAL SERVICE FOR GROUPS, INC.",In LA County,LOS ANGELES,90021,"905  E. 8TH ST, LOS ANGELES, CA, 90021",34.0312699,-118.2419335
50,501216,"SPECIAL SERVICE FOR GROUPS, INC.",In LA County,LOS ANGELES,90021,"905  E 8TH STREET, LOS ANGELES, CA, 90021",34.0312699,-118.2419335
51,156649,AAPI EQUITY ALLIANCE,In LA County,LOS ANGELES,90021,"905  E 8TH ST, LOS ANGELES, CA, 90021",34.0312699,-118.2419335
52,501216,"SPECIAL SERVICE FOR GROUPS, INC.",In LA County,LOS ANGELES,90021,"905  E 8TH ST, LOS ANGELES, CA, 90021",34.0312699,-118.2419335
53,501216,"SPECIAL SERVICE FOR GROUPS, INC.",In LA County,LOS ANGELES,90021,"905  E 8TH ST, LOS ANGELES, CA, 90021",34.0312699,-118.2419335
54,193817,JLE PAINTING,In LA County,ALHAMBRA,91801,"904  E MOUNTAIN VIEW TER, ALHAMBRA, CA, 91801",34.0960371,-118.1146367
55,208927,TOURBILLON ENTERPRISES LLC,In LA County,ROSEMEAD,91770,"9038  GARVEY AVENUE, ROSEMEAD, CA, 91770",34.062611,-118.0715898
56,208927,TOURBILLON ENTERPRISES LLC,In LA County,ROSEMEAD,91770,"9038  GARVEY AVE, ROSEMEAD, CA, 91770",34.062611,-118.0715898
57,37388,"FERBAK, INC.",In LA County,NORTHRIDGE,91325,"9030  BALBOA BLVD, NORTHRIDGE, CA, 91325",34.2354782,-118.5026347
58,159004,LOGIXSERVICE INC,Outside of LA County,SAN CLEMENTE,92673,"903  CALLE AMANECER , SAN CLEMENTE, CA, 92673",33.4484638,-117.6087624
59,159004,LOGIXSERVICE INC,Outside of LA County,SAN CLEMENTE,92673,"903  CALLE AMANACER , SAN CLEMENTE, CA, 92673",,
60,205655,"INNOVATIVE WORKPLACE SOLUTIONS, LLC",In LA County,NORTH HILLS,91343,"8943  COLLETT AVE, NORTH HILLS, CA, 91343",34.2331142,-118.4840927
61,118932,APPLIED ENGINEERING CONCEPTS,In LA County,PASADENA,91103,"894  N FAIR OAKS AVE, PASADENA, CA, 91103",34.1612875,-118.1505077
62,46786,"PATTEN ENERGY ENTERPRISES, INC",In LA County,LOS ANGELES,90045,"8939  S SEPULVEDA BLVD , LOS ANGELES, CA, 90045",33.9550489,-118.3963772
63,177581,POLYCHROME CONSTRUCTION INC,In LA County,NORTHRIDGE,91325,"8908  BALBOA BLVD, NORTHRIDGE, CA, 91325",34.2324363,-118.502465
64,163451,CSDA DESIGN GROUP INC,In LA County,EL SEGUNDO,90245,"889  N DOUGLAS STREET, EL SEGUNDO, CA, 90245",33.9285381,-118.3835711
65,163451,CSDA DESIGN GROUP INC,In LA County,EL SEGUNDO,90245,"889  N DOUGLAS ST, EL SEGUNDO, CA, 90245",33.9285381,-118.3835711
66,111511,APSI CONSTRUCTION MANAGEMENT,Outside of LA County,IRVINE,92618,"8885  RESEARCH DR, IRVINE, CA, 92618",33.6430897,-117.7373719
67,43302,VALLEY CONSTRUCTION SUPPLY INC,In LA County,LANCASTER,93535,"888  E AVENUE L 4, LANCASTER, CA, 93535",34.6567382,-118.1134711
68,194581,OCMI,Outside of LA County,IRVINE,92618,"8851  RESEARCH DR, IRVINE, CA, 92618",33.6437972,-117.7377231
