,Vendor Code,Vendor Name,Address
59,159004,LOGIXSERVICE INC,"903  CALLE AMANACER , SAN CLEMENTE, CA, 92673"
60,205655,"INNOVATIVE WORKPLACE SOLUTIONS, LLC","8943  COLLETT AVE, NORTH HILLS, CA, 91343"
61,118932,APPLIED ENGINEERING CONCEPTS,"894  N FAIR OAKS AVE, PASADENA, CA, 91103"
62,46786,"PATTEN ENERGY ENTERPRISES, INC","8939  S SEPULVEDA BLVD , LOS ANGELES, CA, 90045"
63,177581,POLYCHROME CONSTRUCTION INC,"8908  BALBOA BLVD, NORTHRIDGE, CA, 91325"
64,163451,CSDA DESIGN GROUP INC,"889  N DOUGLAS STREET, EL SEGUNDO, CA, 90245"
65,163451,CSDA DESIGN GROUP INC,"889  N DOUGLAS ST, EL SEGUNDO, CA, 90245"
66,111511,APSI CONSTRUCTION MANAGEMENT,"8885  RESEARCH DR, IRVINE, CA, 92618"
67,43302,VALLEY CONSTRUCTION SUPPLY INC,"888  E AVENUE L 4, LANCASTER, CA, 93535"
68,194581,OCMI,"8851  RESEARCH DR, IRVINE, CA, 92618"
69,182836,"ADVANCED MICROSYSTEMS GROUP, INC.","8816  S SEPULVEDA BLVD, LOS ANGELES, CA, 90045"
70,190398,KEITH JACKSON ENTERPRISES INC,"8780  19TH ST, RCH CUCAMONGA, CA, 91701"
71,167823,"AIR BALANCE CO., INC.","874  S VILLAGE OAKS DR, COVINA, CA, 91724"
72,117868,MAURER MARINE INC.,"873  W. 17TH ST., COSTA MESA, CA, 92627"
73,182164,PG CUTTING SERVICES,"8650  SOMERSET BLVD, PARAMOUNT, CA, 90723"
74,182164,PG CUTTING SERVICES,"8650  SOMERSET BLVD, PARAMOUNT, CA, 90723"
75,190811,BAYINFOTECH,"8605  SANTA MONICA BLVD, W HOLLYWOOD, CA, 90069"
76,202781,"PHONES USA, INC.","8592  VENICE BLVD, LOS ANGELES, CA, 90034"
77,513782,DAVID RAYBOULD,"8552  AQUEDUCT AVE., NORTH HILLS, CA, 91343"
78,201043,THINKLOGIC INC,"855  N DOUGLAS ST, EL SEGUNDO, CA, 90245"
79,194037,HORIZON DESIGN INTERNATIONAL LLC,"8549  WILSHIRE BLVD , BEVERLY HILLS, CA, 90211"
80,163141,BRILLIANT CORNERS,"854  FOLSOM ST, SAN FRANCISCO, CA, 94107"
81,171823,ARDO A VARDANYAN,"8532  VINE VALLEY DR, SUN VALLEY, CA, 91352"
82,168704,ZSM CORP.,"8512  HELMAND DR, WINNETKA, CA, 91306"
83,180362,"DURA BRANDS, INC.","851  MERIDIAN ST, DUARTE, CA, 91010"
